"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-09","0.00","68","44"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-10","0.00","54","32"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-11","0.00","50","32"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-12","0.00","53","36"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-13","0.00","62","45"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-14","0.00","58","42"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-15","0.58","56","39"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-16","0.00","51","38"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-17","0.00","64","37"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-18","0.00","71","44"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-19","0.00","70","40"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-20","0.00","71","39"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-10-21","0.26","76","52"
